illusion_strength,true_diff,n_trials,n_positive,prop_positive,illusion,strength_sign_flipped,shared,species,k_abs,direction
0.0,-0.04,110,5,0.0454545454545454,MullerLyer,False,True,gpt-5.2,,
0.0,0.04,110,63,0.5727272727272728,MullerLyer,False,True,gpt-5.2,,
0.0,0.06565,110,70,0.6363636363636364,MullerLyer,False,True,gpt-5.2,,
0.0,0.10044,110,58,0.5272727272727272,MullerLyer,False,True,gpt-5.2,,
0.0,0.14575,110,106,0.9636363636363636,MullerLyer,False,True,gpt-5.2,,
0.0,0.20297,110,110,1.0,MullerLyer,False,True,gpt-5.2,,
0.0,0.27349,110,110,1.0,MullerLyer,False,True,gpt-5.2,,
0.0,0.3587,110,110,1.0,MullerLyer,False,True,gpt-5.2,,
0.0,0.46,110,110,1.0,MullerLyer,False,True,gpt-5.2,,
0.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
0.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
0.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
0.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
7.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
7.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,1.0
7.0,-0.27349,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
7.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,1.0
7.0,-0.14575,110,2,0.0181818181818181,MullerLyer,False,False,gpt-5.2,,
7.0,-0.10044,110,11,0.1,MullerLyer,False,True,gpt-5.2,1.0,1.0
7.0,-0.06565,110,4,0.0363636363636363,MullerLyer,False,False,gpt-5.2,,
7.0,-0.04,110,23,0.209090909090909,MullerLyer,False,True,gpt-5.2,1.0,1.0
7.0,0.04,110,1,0.009090909090909,MullerLyer,False,True,gpt-5.2,1.0,-1.0
7.0,0.06565,110,6,0.0545454545454545,MullerLyer,False,False,gpt-5.2,,
7.0,0.10044,110,13,0.1181818181818181,MullerLyer,False,True,gpt-5.2,1.0,-1.0
7.0,0.14575,110,24,0.2181818181818181,MullerLyer,False,False,gpt-5.2,,
7.0,0.20297,110,72,0.6545454545454545,MullerLyer,False,True,gpt-5.2,1.0,-1.0
7.0,0.27349,110,87,0.7909090909090909,MullerLyer,False,False,gpt-5.2,,
7.0,0.3587,110,77,0.7,MullerLyer,False,True,gpt-5.2,1.0,-1.0
7.0,0.46,110,104,0.9454545454545454,MullerLyer,False,False,gpt-5.2,,
7.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
7.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
7.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
7.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
14.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,1.0
14.0,-0.3587,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
14.0,-0.27349,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,1.0
14.0,-0.20297,110,4,0.0363636363636363,MullerLyer,False,False,gpt-5.2,,
14.0,-0.14575,110,8,0.0727272727272727,MullerLyer,False,True,gpt-5.2,2.0,1.0
14.0,-0.10044,110,9,0.0818181818181818,MullerLyer,False,False,gpt-5.2,,
14.0,-0.06565,110,15,0.1363636363636363,MullerLyer,False,True,gpt-5.2,2.0,1.0
14.0,-0.04,110,19,0.1727272727272727,MullerLyer,False,False,gpt-5.2,,
14.0,0.04,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
14.0,0.06565,110,5,0.0454545454545454,MullerLyer,False,True,gpt-5.2,2.0,-1.0
14.0,0.10044,110,1,0.009090909090909,MullerLyer,False,False,gpt-5.2,,
14.0,0.14575,110,34,0.3090909090909091,MullerLyer,False,True,gpt-5.2,2.0,-1.0
14.0,0.20297,110,48,0.4363636363636363,MullerLyer,False,False,gpt-5.2,,
14.0,0.27349,110,54,0.4909090909090909,MullerLyer,False,True,gpt-5.2,2.0,-1.0
14.0,0.3587,110,108,0.9818181818181818,MullerLyer,False,False,gpt-5.2,,
14.0,0.46,110,102,0.9272727272727272,MullerLyer,False,True,gpt-5.2,2.0,-1.0
14.0,0.57877,110,108,0.9818181818181818,MullerLyer,False,False,gpt-5.2,,
14.0,0.71641,110,108,0.9818181818181818,MullerLyer,False,False,gpt-5.2,,
14.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
14.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
21.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
21.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,1.0
21.0,-0.27349,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
21.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,1.0
21.0,-0.14575,110,6,0.0545454545454545,MullerLyer,False,False,gpt-5.2,,
21.0,-0.10044,110,4,0.0363636363636363,MullerLyer,False,True,gpt-5.2,3.0,1.0
21.0,-0.06565,110,8,0.0727272727272727,MullerLyer,False,False,gpt-5.2,,
21.0,-0.04,110,11,0.1,MullerLyer,False,True,gpt-5.2,3.0,1.0
21.0,0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,-1.0
21.0,0.06565,110,4,0.0363636363636363,MullerLyer,False,False,gpt-5.2,,
21.0,0.10044,110,8,0.0727272727272727,MullerLyer,False,True,gpt-5.2,3.0,-1.0
21.0,0.14575,110,23,0.209090909090909,MullerLyer,False,False,gpt-5.2,,
21.0,0.20297,110,35,0.3181818181818182,MullerLyer,False,True,gpt-5.2,3.0,-1.0
21.0,0.27349,110,93,0.8454545454545455,MullerLyer,False,False,gpt-5.2,,
21.0,0.3587,110,87,0.7909090909090909,MullerLyer,False,True,gpt-5.2,3.0,-1.0
21.0,0.46,110,107,0.9727272727272728,MullerLyer,False,False,gpt-5.2,,
21.0,0.57877,110,106,0.9636363636363636,MullerLyer,False,False,gpt-5.2,,
21.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
21.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
21.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
28.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,4.0,1.0
28.0,-0.3587,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
28.0,-0.27349,110,2,0.0181818181818181,MullerLyer,False,True,gpt-5.2,4.0,1.0
28.0,-0.20297,110,4,0.0363636363636363,MullerLyer,False,False,gpt-5.2,,
28.0,-0.14575,110,16,0.1454545454545454,MullerLyer,False,True,gpt-5.2,4.0,1.0
28.0,-0.10044,110,17,0.1545454545454545,MullerLyer,False,False,gpt-5.2,,
28.0,-0.06565,110,28,0.2545454545454545,MullerLyer,False,True,gpt-5.2,4.0,1.0
28.0,-0.04,110,49,0.4454545454545454,MullerLyer,False,False,gpt-5.2,,
28.0,0.04,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
28.0,0.06565,110,0,0.0,MullerLyer,False,True,gpt-5.2,4.0,-1.0
28.0,0.10044,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
28.0,0.14575,110,0,0.0,MullerLyer,False,True,gpt-5.2,4.0,-1.0
28.0,0.20297,110,13,0.1181818181818181,MullerLyer,False,False,gpt-5.2,,
28.0,0.27349,110,48,0.4363636363636363,MullerLyer,False,True,gpt-5.2,4.0,-1.0
28.0,0.3587,110,107,0.9727272727272728,MullerLyer,False,False,gpt-5.2,,
28.0,0.46,110,93,0.8454545454545455,MullerLyer,False,True,gpt-5.2,4.0,-1.0
28.0,0.57877,110,106,0.9636363636363636,MullerLyer,False,False,gpt-5.2,,
28.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
28.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
28.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
35.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
35.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,5.0,1.0
35.0,-0.27349,110,1,0.009090909090909,MullerLyer,False,False,gpt-5.2,,
35.0,-0.20297,110,9,0.0818181818181818,MullerLyer,False,True,gpt-5.2,5.0,1.0
35.0,-0.14575,110,8,0.0727272727272727,MullerLyer,False,False,gpt-5.2,,
35.0,-0.10044,110,31,0.2818181818181818,MullerLyer,False,True,gpt-5.2,5.0,1.0
35.0,-0.06565,110,55,0.5,MullerLyer,False,False,gpt-5.2,,
35.0,-0.04,110,84,0.7636363636363637,MullerLyer,False,True,gpt-5.2,5.0,1.0
35.0,0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,5.0,-1.0
35.0,0.06565,110,1,0.009090909090909,MullerLyer,False,False,gpt-5.2,,
35.0,0.10044,110,5,0.0454545454545454,MullerLyer,False,True,gpt-5.2,5.0,-1.0
35.0,0.14575,110,1,0.009090909090909,MullerLyer,False,False,gpt-5.2,,
35.0,0.20297,110,28,0.2545454545454545,MullerLyer,False,True,gpt-5.2,5.0,-1.0
35.0,0.27349,110,37,0.3363636363636363,MullerLyer,False,False,gpt-5.2,,
35.0,0.3587,110,43,0.3909090909090909,MullerLyer,False,True,gpt-5.2,5.0,-1.0
35.0,0.46,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
35.0,0.57877,110,109,0.990909090909091,MullerLyer,False,False,gpt-5.2,,
35.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
35.0,0.87429,110,109,0.990909090909091,MullerLyer,False,False,gpt-5.2,,
35.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
42.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,6.0,1.0
42.0,-0.3587,110,3,0.0272727272727272,MullerLyer,False,False,gpt-5.2,,
42.0,-0.27349,110,4,0.0363636363636363,MullerLyer,False,True,gpt-5.2,6.0,1.0
42.0,-0.20297,110,25,0.2272727272727272,MullerLyer,False,False,gpt-5.2,,
42.0,-0.14575,110,22,0.2,MullerLyer,False,True,gpt-5.2,6.0,1.0
42.0,-0.10044,110,42,0.3818181818181818,MullerLyer,False,False,gpt-5.2,,
42.0,-0.06565,110,87,0.7909090909090909,MullerLyer,False,True,gpt-5.2,6.0,1.0
42.0,-0.04,110,91,0.8272727272727273,MullerLyer,False,False,gpt-5.2,,
42.0,0.04,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
42.0,0.06565,110,0,0.0,MullerLyer,False,True,gpt-5.2,6.0,-1.0
42.0,0.10044,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
42.0,0.14575,110,3,0.0272727272727272,MullerLyer,False,True,gpt-5.2,6.0,-1.0
42.0,0.20297,110,1,0.009090909090909,MullerLyer,False,False,gpt-5.2,,
42.0,0.27349,110,21,0.1909090909090909,MullerLyer,False,True,gpt-5.2,6.0,-1.0
42.0,0.3587,110,52,0.4727272727272727,MullerLyer,False,False,gpt-5.2,,
42.0,0.46,110,92,0.8363636363636363,MullerLyer,False,True,gpt-5.2,6.0,-1.0
42.0,0.57877,110,103,0.9363636363636364,MullerLyer,False,False,gpt-5.2,,
42.0,0.71641,110,107,0.9727272727272728,MullerLyer,False,False,gpt-5.2,,
42.0,0.87429,110,109,0.990909090909091,MullerLyer,False,False,gpt-5.2,,
42.0,1.05382,110,106,0.9636363636363636,MullerLyer,False,False,gpt-5.2,,
49.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
49.0,-0.3587,110,2,0.0181818181818181,MullerLyer,False,True,gpt-5.2,7.0,1.0
49.0,-0.27349,110,14,0.1272727272727272,MullerLyer,False,False,gpt-5.2,,
49.0,-0.20297,110,57,0.5181818181818182,MullerLyer,False,True,gpt-5.2,7.0,1.0
49.0,-0.14575,110,54,0.4909090909090909,MullerLyer,False,False,gpt-5.2,,
49.0,-0.10044,110,88,0.8,MullerLyer,False,True,gpt-5.2,7.0,1.0
49.0,-0.06565,110,101,0.9181818181818182,MullerLyer,False,False,gpt-5.2,,
49.0,-0.04,110,66,0.6,MullerLyer,False,True,gpt-5.2,7.0,1.0
49.0,0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
49.0,0.06565,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
49.0,0.10044,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
49.0,0.14575,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
49.0,0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,7.0,-1.0
49.0,0.27349,110,9,0.0818181818181818,MullerLyer,False,False,gpt-5.2,,
49.0,0.3587,110,24,0.2181818181818181,MullerLyer,False,True,gpt-5.2,7.0,-1.0
49.0,0.46,110,44,0.4,MullerLyer,False,False,gpt-5.2,,
49.0,0.57877,110,100,0.9090909090909092,MullerLyer,False,False,gpt-5.2,,
49.0,0.71641,110,91,0.8272727272727273,MullerLyer,False,False,gpt-5.2,,
49.0,0.87429,110,106,0.9636363636363636,MullerLyer,False,False,gpt-5.2,,
49.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-66.5,-0.24,100,0,0.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,-0.19772,100,0,0.0,VerticalHorizontal,False,True,gpt-5.2,7.0,-1.0
-66.5,-0.15953,100,0,0.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,-0.12544,100,0,0.0,VerticalHorizontal,False,True,gpt-5.2,7.0,-1.0
-66.5,-0.09544,100,0,0.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,-0.06953,100,0,0.0,VerticalHorizontal,False,True,gpt-5.2,7.0,-1.0
-66.5,-0.04772,100,0,0.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,-0.03,100,1,0.01,VerticalHorizontal,False,True,gpt-5.2,7.0,-1.0
-66.5,0.03,100,26,0.26,VerticalHorizontal,False,True,gpt-5.2,7.0,1.0
-66.5,0.04772,100,82,0.82,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.06953,100,74,0.74,VerticalHorizontal,False,True,gpt-5.2,7.0,1.0
-66.5,0.09544,100,68,0.68,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.12544,100,80,0.8,VerticalHorizontal,False,True,gpt-5.2,7.0,1.0
-66.5,0.15953,100,80,0.8,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.19772,100,63,0.63,VerticalHorizontal,False,True,gpt-5.2,7.0,1.0
-66.5,0.24,100,94,0.94,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.277,30,30,1.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.32,100,99,0.99,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.369,30,30,1.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.42,100,100,1.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.475,30,30,1.0,VerticalHorizontal,False,False,gpt-5.2,,
-66.5,0.54,100,100,1.0,VerticalHorizontal,False,False,gpt-5.2,,
