species,illusion,k_abs,n_cells,n_trials,grid_max,illusion_strength_abs,illusion_magnitude,magnitude_ci_low,magnitude_ci_high,magnitude_pct,magnitude_pct_ci_low,magnitude_pct_ci_high,side_bias,sigma,fit_r2,converged,saturated,magnitude_jnd,magnitude_jnd_ci_low,magnitude_jnd_ci_high,baseline_jnd,reportable,exceeds_grid,ci_width_pct,unconstrained,fit_status
vlm,MullerLyer,4.0,16,1760,0.46,28.0,0.18508,0.17428,0.19595,40.235,37.887,42.598,0.1393,0.09168,0.97857,True,False,3.4141,3.2149,3.6146,0.05421,True,False,4.711,False,measured
vlm,MullerLyer,5.0,16,1760,0.3587,35.0,0.20842,0.19684,0.22086,58.104,54.876,61.572,0.1226,0.10545,0.95931,True,False,3.8447,3.6311,4.0742,0.05421,True,False,6.696,False,measured
vlm,MullerLyer,6.0,16,1760,0.46,42.0,0.23268,0.22181,0.24372,50.583,48.22,52.983,0.12388,0.08821,0.98948,True,False,4.2922,4.0917,4.4958,0.05421,True,False,4.763,False,measured
vlm,MullerLyer,7.0,16,1760,0.3587,49.0,0.31501,0.29604,0.33684,87.82,82.531,93.906,0.15071,0.12273,0.96789,True,False,5.8109,5.461,6.2136,0.05421,True,False,11.375,False,measured
vlm,Ponzo,1.0,16,1600,0.3587,3.6,0.03738,0.02767,0.04724,10.421,7.714,13.17,0.05845,0.10782,0.92801,True,False,0.5535,0.4097,0.6995,0.06753,True,False,5.456,False,measured
vlm,Ponzo,2.0,16,1600,0.46,7.2,-0.00296,-0.01369,0.0078,-0.643,-2.976,1.696,0.06319,0.10156,0.89142,True,False,-0.0438,-0.2027,0.1155,0.06753,True,False,4.672,False,measured
vlm,Ponzo,3.0,16,1600,0.3587,10.8,0.02844,0.01964,0.03741,7.929,5.475,10.429,0.01724,0.09425,0.91639,True,False,0.4211,0.2908,0.554,0.06753,True,False,4.954,False,measured
vlm,Ponzo,4.0,16,1600,0.46,14.4,0.04714,0.03905,0.0548,10.248,8.489,11.913,0.02912,0.03681,0.99853,True,False,0.6981,0.5783,0.8115,0.06753,True,False,3.424,False,measured
vlm,Ponzo,5.0,16,1600,0.3587,18.0,0.01998,0.01322,0.02678,5.57,3.686,7.466,0.00813,0.06037,0.98654,True,False,0.2959,0.1958,0.3966,0.06753,True,False,3.78,False,measured
vlm,Ponzo,6.0,16,1600,0.46,21.6,-0.00409,-0.01289,0.0047,-0.889,-2.802,1.022,0.02431,0.06184,0.99921,True,False,-0.0606,-0.1909,0.0696,0.06753,True,False,3.824,False,measured
vlm,Ponzo,7.0,16,1600,0.3587,25.2,0.05735,0.04996,0.06493,15.988,13.928,18.101,-0.02366,0.06795,0.9846,True,False,0.8493,0.7398,0.9615,0.06753,True,False,4.173,False,measured
vlm,RodFrame,1.0,16,1600,5.37739,2.0,1.38095,1.00072,1.80898,25.681,18.61,33.64,-2.22467,3.69155,0.49943,True,False,1.9143,1.3872,2.5076,0.7214,True,False,15.03,False,measured
vlm,RodFrame,2.0,16,1600,7.1,4.0,8.92927,8.06853,9.00514,125.764,113.641,126.833,-10.64868,0.19645,0.62609,True,False,12.3777,11.1845,12.4829,0.7214,True,True,13.192,False,bounded
vlm,RodFrame,3.0,16,1600,5.37739,6.0,7.46662,3.87399,7.86546,138.852,72.042,146.269,-8.02648,1.8305,0.52804,True,False,10.3502,5.3701,10.903,0.7214,True,True,74.227,True,unconstrained
vlm,RodFrame,4.0,16,1600,7.1,8.0,4.73065,4.39409,8.97342,66.629,61.889,126.386,-8.44532,0.0284,0.55806,True,False,6.5576,6.0911,12.4389,0.7214,True,False,64.497,True,unconstrained
vlm,RodFrame,5.0,16,1600,5.37739,10.0,7.40734,3.42105,7.62388,137.75,63.619,141.777,-8.06609,1.13754,0.64163,True,False,10.268,4.7422,10.5682,0.7214,True,True,78.158,True,unconstrained
vlm,RodFrame,6.0,16,1600,7.1,12.0,7.93944,6.59877,8.99192,111.823,92.94,126.647,-10.65,0.0284,0.7001,True,False,11.0056,9.1472,12.4645,0.7214,True,True,33.707,True,unconstrained
vlm,RodFrame,7.0,16,1600,5.37739,14.0,8.06609,5.65555,8.06609,150.0,105.173,150.0,-7.45605,2.92464,0.7653,True,False,11.1812,7.8397,11.1812,0.7214,True,True,44.827,True,unconstrained
vlm,VerticalHorizontal,1.0,16,1600,0.19772,9.5,0.25844,0.07557,0.27483,130.71,38.221,139.0,0.23374,0.00513,0.9309,True,False,4.4405,1.2985,4.7222,0.0582,True,True,100.779,True,unconstrained
vlm,VerticalHorizontal,2.0,16,1600,0.24,19.0,0.11399,0.10896,0.11946,47.496,45.4,49.775,0.01098,0.03688,0.98739,True,False,1.9586,1.8722,2.0526,0.0582,True,False,4.375,False,measured
vlm,VerticalHorizontal,3.0,16,1600,0.19772,28.5,0.1271,0.11982,0.13488,64.283,60.601,68.218,0.02663,0.0718,0.87905,True,False,2.1838,2.0588,2.3175,0.0582,True,False,7.617,False,measured
vlm,VerticalHorizontal,4.0,16,1600,0.24,38.0,0.3533,0.25113,0.36,147.208,104.638,150.0,0.16229,0.03151,0.96841,True,False,6.0704,4.3149,6.1856,0.0582,True,True,45.362,True,unconstrained
vlm,VerticalHorizontal,5.0,16,1600,0.19772,47.5,0.13779,0.13212,0.14382,69.689,66.822,72.739,0.06442,0.03634,0.98375,True,False,2.3675,2.2701,2.4711,0.0582,True,False,5.917,False,measured
vlm,VerticalHorizontal,6.0,16,1600,0.24,57.0,0.17687,0.16965,0.18469,73.696,70.688,76.954,0.07003,0.05343,0.97765,True,False,3.039,2.9149,3.1734,0.0582,True,False,6.266,False,measured
vlm,VerticalHorizontal,7.0,16,1600,0.19772,66.5,0.27286,0.22027,0.29658,138.003,111.405,150.0,0.25832,0.15234,0.75455,True,False,4.6883,3.7847,5.0959,0.0582,True,True,38.595,True,unconstrained
