model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Delboeuf,0.0,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.16462,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.11066,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,-0.07,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.07,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.11066,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.31,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.16462,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.11066,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,-0.07,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.07,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.11066,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.62,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.16462,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.11066,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,-0.07,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.07,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.11066,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.16462,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.93,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.7,24,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.16462,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.11066,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,1.24,-0.07,25,1,0.04,0.96,Left
gpt-5.2,Delboeuf,1.24,0.07,25,24,0.96,0.96,Left
gpt-5.2,Delboeuf,1.24,0.11066,25,24,0.96,0.96,Left
