model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,DelboeufV12,0.0,-0.11066,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,0.0,-0.07,40,39,0.975,0.025,Left
gpt-5.2,DelboeufV12,0.0,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.23378,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.11066,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,-0.07,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.31,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.23378,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.16462,40,8,0.2,0.8,Left
gpt-5.2,DelboeufV12,0.62,-0.11066,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,-0.07,40,7,0.175,0.825,Left
gpt-5.2,DelboeufV12,0.62,0.07,40,40,1.0,1.0,Left
