model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,RodFrame,4.0,-9.06157,100,11,0.11,0.89,Left
gpt-5.2,RodFrame,4.0,-7.1,100,66,0.66,0.34,Left
gpt-5.2,RodFrame,4.0,-5.37739,100,71,0.71,0.29,Left
gpt-5.2,RodFrame,4.0,-3.89375,100,23,0.23,0.77,Left
gpt-5.2,RodFrame,4.0,-2.64907,100,60,0.6,0.4,Left
gpt-5.2,RodFrame,4.0,-1.64336,100,91,0.91,0.09,Left
gpt-5.2,RodFrame,4.0,-0.87661,100,94,0.94,0.06,Left
gpt-5.2,RodFrame,4.0,-0.34882,100,86,0.86,0.14,Left
gpt-5.2,RodFrame,4.0,-0.06,100,37,0.37,0.63,Left
gpt-5.2,RodFrame,4.0,0.06,100,36,0.36,0.36,Left
gpt-5.2,RodFrame,4.0,0.34882,100,73,0.73,0.73,Left
gpt-5.2,RodFrame,4.0,0.87661,100,80,0.8,0.8,Left
gpt-5.2,RodFrame,4.0,1.64336,100,80,0.8,0.8,Left
gpt-5.2,RodFrame,4.0,2.64907,100,53,0.53,0.53,Left
gpt-5.2,RodFrame,4.0,3.89375,100,38,0.38,0.38,Left
gpt-5.2,RodFrame,4.0,5.37739,100,91,0.91,0.91,Left
gpt-5.2,RodFrame,4.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,4.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,4.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,4.0,13.7016,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,6.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,6.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,6.0,-9.06157,100,38,0.38,0.62,Left
gpt-5.2,RodFrame,6.0,-7.1,100,82,0.82,0.18,Left
gpt-5.2,RodFrame,6.0,-5.37739,100,86,0.86,0.14,Left
gpt-5.2,RodFrame,6.0,-3.89375,100,69,0.69,0.31,Left
gpt-5.2,RodFrame,6.0,-2.64907,100,91,0.91,0.09,Left
gpt-5.2,RodFrame,6.0,-1.64336,100,99,0.99,0.01,Left
gpt-5.2,RodFrame,6.0,-0.87661,100,97,0.97,0.03,Left
gpt-5.2,RodFrame,6.0,-0.34882,100,88,0.88,0.12,Left
gpt-5.2,RodFrame,6.0,-0.06,100,53,0.53,0.47,Left
gpt-5.2,RodFrame,6.0,0.06,100,23,0.23,0.23,Left
gpt-5.2,RodFrame,6.0,0.34882,100,73,0.73,0.73,Left
gpt-5.2,RodFrame,6.0,0.87661,100,61,0.61,0.61,Left
gpt-5.2,RodFrame,6.0,1.64336,100,82,0.82,0.82,Left
gpt-5.2,RodFrame,6.0,2.64907,100,54,0.54,0.54,Left
gpt-5.2,RodFrame,6.0,3.89375,100,64,0.64,0.64,Left
gpt-5.2,RodFrame,6.0,5.37739,100,83,0.83,0.83,Left
gpt-5.2,RodFrame,6.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,6.0,9.06157,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,6.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,6.0,13.7016,100,100,1.0,1.0,Left
